""	"b1"	"b2"	"b3"	"c1"	"c2"	"c3"
"1769479_at"	1.24812956885003	1.51109062509558	1.312114643294	0.823586105722875	1.39987024818858	1.19559680396149
"1769480_at"	1.36539584780965	1.5111050934081	1.57556969867962	1.36539584780965	1.69050920069548	1.36274093817021
"1769481_at"	7.75316706676384	7.60583211777298	7.56897638333568	7.76426942654178	7.45632954366072	7.72746489060199
"1769482_at"	4.90617984220299	4.17217044087111	4.1417965309008	5.08955523531112	4.19308201344082	5.13669356207269
"1769483_at"	1.67900710057699	1.84556020945532	2.0877040883803	1.65131134237654	1.71549414506334	1.68721876269978
"1769484_at"	6.91906887985797	7.62440297741328	7.63120915082877	6.84592253720074	7.59836184115745	6.99709557402411
"1769485_s_at"	5.38106301298794	6.75471709598029	6.78849398326437	5.18619394433598	6.50166192348379	5.44978679658526
"1769486_at"	1.14959471399213	1.23702782212209	1.48830007874383	1.48830007874383	1.32733076302926	1.01596755586797
"1769487_at"	7.87860286039708	8.64499403232922	8.60134795949426	7.9129691302064	8.78542817606396	7.81241548287691
"1769488_at"	2.06902324560971	2.30118343529136	2.09897431333971	2.48080079063099	2.27559878460148	2.09897431333971
"1769489_at"	1.87012655603511	1.87012655603511	2.00749950198833	1.87012655603511	1.73275361008188	1.87012655603511
"1769490_at"	1.39592837274482	1.26650354629308	1.56723157527818	1.30167273502237	1.11975030863593	0.889941674937206
"1769491_at"	1.6481162204659	2.24047868158324	2.63959087906886	2.0785199737172	2.35706405813814	1.71213172600849
"1769492_at"	2.04861048838811	2.02728439950154	2.2357107103781	1.82507527754989	2.02318150823098	1.72809282270454
"1769493_at"	1.6236020129864	1.31842108614987	1.34848257459777	1.2802973879814	1.31842108614987	1.10998828610401
"1769494_at"	1.14536484664122	1.19325603737034	1.41749869755665	1.10812585912731	1.35351362311267	1.32443939555849
"1769495_at"	7.95967005897201	8.31243936022472	8.24955712726518	8.10506550236804	8.22385249505725	7.95659431444641
"1769496_at"	1.2807819851953	1.19240433885701	0.967736440391942	0.947510567097496	1.0568843431594	1.1620099381554
"1769497_at"	1.4627743318537	1.69050920069548	1.62434961785302	1.4679569556649	1.4626667272807	1.51382582563395
"1769498_at"	1.24554088193222	1.26073856332537	1.00414263405988	1.23017213310914	1.08782340960815	1.14801460402249
"1769499_at"	1.02025158002253	0.846022816248007	0.996357396591184	1.17510090843046	1.03338477124467	0.980852006356126
"1769500_at"	7.07688452512233	7.49279212111464	7.42382618390644	7.21083604465801	7.40068092541856	7.1066476012243
"1769501_at"	4.98345960037907	5.09208178768051	5.30773472365383	4.99490914034056	5.14605385422465	4.90251929675238
"1769502_at"	8.8169285231274	9.68820467401606	9.58558304372687	8.90466614503341	9.61705847767483	8.70195615065877
"1769503_at"	10.9796580539777	12.0858288031869	11.980925472594	10.9480372925492	11.9370527301883	10.9810658423715
"1769504_at"	8.24071343320485	9.04687636085162	8.90411044096555	8.17559121577088	8.86098501811546	8.15051069323095
"1769505_at"	1.23312134351664	1.40125041482665	1.17041540409733	1.43825781863414	1.39181715920602	1.37262452604898
"1769506_at"	6.93398478805478	8.25663862856397	8.25260145306723	7.08344035855574	8.08096381057298	6.86306172905297
"1769507_at"	1.5690944213968	1.9403598989067	1.80423375265658	1.49148508916659	2.07900693485305	1.72552777734627
"1769508_at"	3.1434277915051	3.65842947304759	3.45622035109593	3.39975785765475	3.37557158725345	2.93006189311169
"1769509_at"	1.32442777083159	1.42560200891831	1.48830007874383	1.46874813593747	1.36807168059028	1.16051428732811
"1769510_at"	11.1342552577568	11.6528704846111	11.7081642163507	11.2020820366298	11.5845121683362	11.1289695938114
"1769511_at"	7.49082581863828	8.15967247269937	8.42628856964728	7.48590855893592	8.32154060198439	7.54805677184184
"1769512_at"	1.64274145432836	1.42464294027905	1.5221740016871	1.31526916421715	1.33194339702122	1.63140944594775
"1769513_at"	1.30102013975285	1.71230712969582	1.7580021278905	1.48830007874383	1.50842239687265	1.22738336494071
"1769514_at"	2.19539765431944	2.33356943136322	2.43433997497325	2.41645710619126	2.61866622814291	2.07900693485305
"1769515_at"	1.96333511009869	1.81809194057694	2.48138102414877	2.38828119663611	1.89806659395764	2.52127029806958
"1769516_at"	10.072046113127	10.0491900063959	10.0785933088603	10.187902260955	9.90133008301253	9.99716306021832
"1769517_at"	1.69050920069548	1.4382408144554	1.48748325588396	1.9454065218229	1.58738247373812	1.69050920069548
"1769518_x_at"	5.92660187674263	7.25287654979111	7.42130104579331	6.11011062494216	7.38765871989044	5.72011881775158
"1769519_at"	7.704556501913	8.23660862124907	7.87380243291823	8.3745984517961	10.0479718115106	7.63746422917782
"1769520_at"	8.24115328936489	8.29036866327325	8.1999341921488	8.04207467353927	8.19842769974619	8.09750809018772
"1769521_at"	2.25324744116211	2.48664748189736	2.58880823251924	2.06134015937842	1.93337769051355	2.15523387546033
"1769522_at"	1.48830007874383	1.24758988637454	1.43297952493144	1.39046255909948	1.35704027737971	1.27709262657419
"1769523_at"	7.69052816836638	7.65205410139558	7.64680519438441	7.79676693155635	7.34489204373959	7.62196715152264
"1769524_at"	1.5601391764396	2.24752837084899	2.07767813184378	1.59577245945585	2.16696554520765	1.81680514908695
"1769525_at"	8.17522463581051	8.81789473028566	8.4396593754916	8.07485249751881	8.79224603186922	8.1059002444399
"1769526_at"	6.87993512075498	7.01719749404475	7.17866072014889	6.90559712612531	7.00269429425552	6.96699683083808
"1769527_at"	6.92596234214771	6.8126167802563	6.83894629643135	6.7851769668323	6.76684363144763	6.82594197656173
"1769528_at"	8.0339611337826	7.47835564580249	7.23922299238708	7.97994757881261	7.55244323415046	7.95343427309243
"1769529_s_at"	1.66904824114163	1.99085924103419	1.9456497882287	1.68746756915965	2.29916603170595	1.78411126249039
"1769530_at"	1.91932397130903	1.72868342442891	1.8864272352402	1.71257082738246	2.00347477384317	1.66076571073861
"1769531_at"	1.22495556687416	1.01467438564813	0.970756616136712	1.22293759765043	1.05851222103129	1.1966801845106
"1769532_at"	1.27875743627861	1.15032843663272	1.19160360424944	1.22291066409533	1.22291066409533	1.26949912030332
"1769533_at"	1.3386782388749	1.80952505539184	1.86538698658301	1.69126866838631	1.64139598408183	1.48830007874383
"1769534_at"	6.06235135340907	7.01658933899731	7.02138401893243	5.97828197128559	7.14797522782076	6.26716511266556
"1769535_at"	1.49153166907142	1.67011332079364	1.64580395967625	1.81729382425814	1.6680385354105	1.73133877764982
"1769536_at"	1.32545931471665	1.55756997486104	1.62506290205605	1.63099335647079	1.76826233451881	1.37976460036125
"1769537_at"	1.40414044476139	1.71736227846021	1.41715900204319	1.35330455417196	1.43013611694248	1.31772036048387
"1769538_at"	7.29817845695336	7.18040683068128	7.42121957207752	7.21200585112001	7.35365654677772	7.28801675764063
"1769539_at"	7.47811271951108	8.09493955436795	7.96153222724889	7.56331791538833	7.81451282771013	7.50173359146929
"1769540_at"	1.77744760393892	1.94131991185115	2.12891451583824	1.61471765319894	1.95528993081242	1.90138981782778
"1769541_at"	6.63348112834421	6.64315158553055	6.63016059783162	6.50635498384821	6.6504765837799	6.78016882775306
"1769542_at"	1.47994905971033	1.5759663510631	1.86845173761747	1.60797211484735	1.4947121885619	1.44178099361779
"1769543_at"	1.31770390766437	0.970242713499854	1.34145825193262	1.41990490402601	1.31770390766437	1.40093847446364
"1769544_at"	8.24325018221941	3.89320306385757	3.77086243928028	8.02850603536157	4.64377618281595	8.26558021650595
"1769545_at"	1.18849705598017	1.32656272705238	1.21196614977414	1.22191933769995	1.34968578126033	0.983604351396445
"1769546_at"	1.23210150660525	1.41710970995838	1.70572719970095	1.14499794992401	1.23274823087147	1.54057500693337
"1769547_at"	1.01467438564813	1.41571785128122	1.16316648705973	1.36873914849302	1.35743998482318	1.27049786758926
"1769548_at"	1.34092714120466	1.69050920069548	1.47147489748774	1.38874494229651	1.32498787417405	1.2625945186698
"1769549_at"	9.61289482895085	10.3986144812143	10.5166459567788	9.68149638012178	10.2522624112912	9.60705618398064
"1769550_at"	6.39699740151304	7.63233538188383	7.76388259147722	6.317278202532	7.58684732674776	6.54791868436746
"1769551_at"	9.24863186944501	6.93457638708226	7.16914231202648	9.02531632841372	7.24310900627734	9.13210000801452
"1769552_s_at"	1.13850106769562	1.33995486187259	1.58598233433788	1.45186027696361	1.32017472058976	1.32735757186525
"1769553_at"	2.47595230777782	3.0617272619511	2.74565435692449	2.56286322782874	2.99619074043923	2.34219722366582
"1769554_at"	9.67518901892649	7.54145961853907	7.63624818329488	9.6234386166956	7.54567328253277	9.56324455914121
"1769555_at"	5.65504905474538	6.17297659323266	6.25078776166728	5.71712453392182	6.16051560003409	5.60965554362702
