F pVal sigma rank
1415998_at 1.20166788917985 0.328009121258317 0.786094487366008 26005
1415999_at 18.2582713229491 4.30227837937013e-08 0.437285972858521 559
1416000_a_at 2.3448999986757 0.0743258698552352 0.74451714020486 17383
1416001_a_at 0.593514419416335 0.669687918005795 0.186702388945121 28977
1416002_x_at 1.34328526062161 0.27407599736222 0.183418786266463 25060
1416004_at 5.0354754858094 0.00269054982211769 0.656865221025163 6010
1416005_at 1.44451128802935 0.24068773875435 0.731758553320112 24377
1416006_at 13.1655995344658 1.40044625589021e-06 0.427052831390121 1145
1416008_at 6.08336973138617 0.000836689265889846 0.739108939659692 4508
1416009_at 0.591783081074597 0.670895466201148 0.605986176676935 28988
1416010_a_at 6.7968955891196 0.000392659859844955 0.405720635713415 3829
1416011_x_at 5.41983052879759 0.00173880070343252 0.155884062242888 5353
1416012_at 1.73350387593743 0.165389286275111 0.207986874383857 22216
1416013_at 0.292520278223552 0.880782453104483 0.213252834761026 29731
1416014_at 1.50571356559654 0.222403306751414 0.633905578586452 23945
1416015_s_at 1.1307785924225 0.358445232342704 0.672156840143802 26430
1416016_at 1.97213723346163 0.121038481482694 0.202499881989798 20288
1416017_at 1.12237463073744 0.362213338792798 0.55306184121677 26474
1416018_at 0.641951226916407 0.636277912987018 0.676696056620857 28813
1416019_at 1.28019795455463 0.297012600643731 0.205705785706453 25472
1416020_a_at 1.27607032611373 0.298573075079074 0.409980531537164 25495
1416021_a_at 45.5518735947247 3.37121121626293e-13 0.467498701858621 64
1416022_at 22.2717133411634 4.22211106725351e-09 0.548430038704064 388
1416023_at 1.74072885656256 0.163836416598428 0.223423808051429 22156
1416024_x_at 3.1068103990284 0.0278181264029423 0.370881659504946 12253
1416026_a_at 3.34567869467152 0.0205655259934037 0.739322616807229 11000
1416027_at 1.88153039757117 0.136285678260009 0.494970868551156 21033
1416028_a_at 9.47377032916633 2.94806455495386e-05 0.498375038597078 2151
1416029_at 4.46885167713445 0.00521180516341255 1.00733402463377 7185
1416030_a_at 8.7123597841213 5.93370786669942e-05 0.249942814888298 2496
1416031_s_at 15.9482833474889 1.91562326180781e-07 0.262841477571429 731
1416032_at 0.875935522149758 0.488508287567486 0.19915254936899 27801
1416033_at 2.90862585566142 0.0358277733945381 0.22828691819026 13448
1416034_at 15.2707785139319 3.04579352598888e-07 0.66589849935976 810
1416035_at 7.19240557670463 0.000261501315535368 0.564694548670623 3479
1416036_at 8.58813766683435 6.66859705208806e-05 0.262346626862345 2559
1416037_a_at 1.14782260795105 0.350908349471639 0.495052083776304 26330
1416038_at 5.32685931813617 0.00193076609312177 0.328604361132749 5494
1416039_x_at 1.21230231586277 0.32364740036655 0.91442533757776 25931
1416041_at 104.731539719095 1.27647431464714e-18 0.528965210886057 6
1416042_s_at 9.58547611583952 2.6665750555339e-05 0.572820417838293 2107
1416044_at 6.92935684660019 0.000342340123996675 0.236281502723789 3709
1416045_a_at 3.79076818833446 0.0118218678335211 0.472666687284927 9173
1416046_a_at 11.077059793357 7.35351220553727e-06 0.574191870912371 1602
1416048_at 1.48438059918796 0.228621262471576 0.200731235453167 24099
1416049_at 2.60037721591635 0.0533115017911057 0.628538436514801 15507
1416050_a_at 12.6509077140839 2.0773490957226e-06 0.423021878841972 1241
1416052_at 3.76272123957724 0.0122370984426801 0.563474840617044 9267
1416053_at 11.8087366843525 4.03956093173848e-06 0.860851737080953 1423
1416054_at 6.18179906828178 0.000752404627941897 0.68498422434757 4414
1416055_at 3.29057781384418 0.0220431564403797 0.350471706442627 11267
1416056_a_at 1.78778582416023 0.154067050940246 0.304271930291023 21794
1416057_at 1.55030037132678 0.209925344631023 0.608381182598818 23624
1416058_s_at 0.142310756152031 0.965165133544699 0.426391686449336 29896
1416059_at 4.116293950051 0.00794866372015537 0.294364625189619 8121
1416060_at 0.32046435457863 0.862282674635784 0.694627261225627 29673
1416061_at 7.91537206328468 0.000127209195149355 0.184563801282097 2969
1416062_at 1.40808473470593 0.25223664326722 0.202728397236841 24632
1416064_a_at 2.19829900286642 0.0900171183938424 0.90636164163107 18547
1416065_a_at 3.87834158062451 0.0106173333350044 0.256132454081113 8861
1416066_at 0.522456608801271 0.719831221580301 0.183921615679848 29203
1416067_at 2.8470238539661 0.0387755772208772 0.867906890627283 13851
1416068_at 6.01827364039914 0.000897847381883333 0.400909152595016 4574
1416069_at 2.48266826053786 0.0621146511310738 0.833237245790843 16350
1416070_a_at 5.54858355997957 0.0015054389867824 0.130181299322435 5161
1416071_at 2.60021582416827 0.0533226547561661 0.2913224149886 15508
1416073_a_at 3.59970926039663 0.0149708298709389 0.396718913758361 9871
1416074_a_at 5.64860417018396 0.00134697508828891 0.658880753371857 5023
1416075_at 3.10189355696317 0.0279925897426302 0.132207108499563 12282
1416076_at 4.53806519763877 0.00480197849591259 0.178145083270006 7010
1416078_s_at 1.63117320840917 0.188990442442288 0.259749153798737 23013
1416079_a_at 2.95315142953071 0.033841697864242 0.210677128364629 13169
1416080_at 0.455741022217064 0.767533857543518 0.150639402271805 29381
1416082_at 1.6000578411985 0.196794607837469 0.227645280973667 23232
1416083_at 2.05102295060487 0.109156970631179 0.521128571895054 19649
1416084_at 2.75980930718939 0.0433821620357934 0.392788081401099 14385
1416085_s_at 3.07277606006987 0.0290492137997548 0.400012423651604 12448
1416086_at 2.35743056480457 0.0731206930597979 0.140082902375041 17289
1416087_at 2.88229724880688 0.0370583385757987 0.125763366564942 13614
1416088_a_at 3.91357285652385 0.0101695145772849 0.639138246394473 8749
1416089_at 2.40037278442759 0.0691391968433368 1.2126051325382 16969
1416090_at 2.87313888395675 0.0374965299759641 0.531574001544138 13676
1416091_at 20.5708634211895 1.08707851234521e-08 0.701945403336118 443
1416092_a_at 39.4536962989683 2.5226184394052e-12 0.349234229807027 88
1416093_a_at 1.79516129750079 0.152588721327464 0.567111286375482 21728
1416094_at 3.76750981221367 0.012165142439029 0.65014797766135 9252
1416095_x_at 3.66273395042458 0.0138453336698284 0.431559717670644 9655
1416096_at 5.60828573100239 0.00140863236328655 0.236502672671309 5078
1416097_at 4.95040111302741 0.00296735450991348 0.208362829704631 6168
1416098_at 8.05483688645056 0.000111056813171706 0.213943435497416 2872
1416099_at 2.61843399052241 0.0520786532544212 0.789221956577297 15378
1416100_at 3.08020504892302 0.0287757696040306 0.363990972479014 12406
1416101_a_at 6.16986291914694 0.000762131090881096 0.699415301648936 4421
1416102_at 1.19199974413882 0.332020118533337 0.832397646192344 26066
1416103_at 2.45101623074085 0.0647260161995791 1.08286950119469 16576
1416104_at 1.78431285552946 0.154768045016526 0.593952612046738 21821
1416105_at 4.91016689222272 0.00310852270521952 0.688713180549803 6246
1416107_at 1.55861601209555 0.207673674268151 0.901093616019963 23564
1416108_a_at 2.68905441573831 0.0475308736363891 0.339415425227482 14872
1416109_at 2.59875785903613 0.0534235156656391 0.587952997178139 15525
1416110_at 1.54941091668152 0.210167571095857 0.150570830857248 23629
1416111_at 3.8089975088095 0.0115598833673863 0.401843348434029 9105
1416112_at 0.942170477539338 0.451513954016519 0.558494662767995 27465
1416113_at 2.91746974787991 0.0354239368300266 0.30040443851693 13395
1416114_at 6.32223682684923 0.000647294121037695 0.27724519113666 4264
1416115_at 3.04922144902972 0.0299341017541193 0.415041040291259 12585
1416116_at 3.57533827529668 0.0154312137304769 0.280837595866545 9955
1416117_at 5.41930286626642 0.00173983174311979 0.177089040771428 5354
1416118_at 14.1342970349136 6.82550487342927e-07 1.00042367443066 961
1416119_at 6.84517301934299 0.000373472427255981 0.559401520778751 3784
1416123_at 2.44802391297014 0.0649786116738483 0.334501201936015 16597
1416125_at 2.07699712692479 0.105506324418737 0.14468091158294 19452
1416126_at 1.41175094438247 0.251051083304254 0.142553056612546 24598
1416127_a_at 5.13338716841677 0.00240518920695966 0.345523464920871 5843
1416128_at 2.84094881514685 0.0390795066210926 0.35142453721552 13888
